case,stiffness,run_idx,q0_mcp_deg,q0_pip_deg,q0_dip_deg,theta_mcp_deg,theta_pip_deg,theta_dip_deg,tip_x_mm,tip_y_mm,tension_N,conv_time_s,saturated
all,k=0,66,0.9565,0.1797,-0.3606,55.2541,54.463,53.9852,94.8112,-16.7647,0.0,1.201,
all,k=0,67,-0.625,0.3451,-0.6098,54.2385,55.1939,54.2698,94.3126,-15.7666,0.0,1.201,
all,k=0,68,0.1554,0.2045,0.9248,54.3026,54.3374,55.0622,94.5365,-15.2732,0.0,1.201,
all,k=0,69,-0.8555,-0.0001,0.4882,53.8345,54.6996,55.1682,94.2949,-14.8331,0.0,1.201,
all,k=0,70,-0.6455,-0.2239,-0.8742,54.4127,54.9873,54.3022,94.4188,-15.8815,0.0,1.201,
all,k=0,71,0.4518,-0.8245,-0.2098,55.0736,54.2238,54.4049,94.8131,-16.3339,0.0,1.201,
all,k=0,72,0.747,-0.0554,0.8252,54.7195,54.1949,54.7878,94.7068,-15.7906,0.0,1.201,
all,k=0,73,0.5318,0.8306,-0.7452,54.8882,55.1724,53.6416,94.5234,-16.7087,0.0,1.201,
all,k=0,74,-0.8529,-0.8593,0.7377,53.8995,54.3227,55.48,94.4035,-14.669,0.0,1.201,
all,k=0,75,0.2681,-0.0069,-0.6729,54.972,54.7091,54.0212,94.6637,-16.5159,0.0,1.201,
all,k=0,76,0.3475,-0.364,0.4218,54.7017,54.2345,54.7661,94.6917,-15.7914,0.0,1.201,
all,k=0,77,-0.0793,0.0149,0.5793,54.3163,54.4208,54.9651,94.5217,-15.3508,0.0,1.201,
all,k=0,78,-0.8145,0.1575,-0.6055,54.165,55.1224,54.4149,94.3059,-15.6094,0.0,1.201,
all,k=0,79,0.6163,-0.0223,0.9774,54.5694,54.2122,54.9206,94.6538,-15.5808,0.0,1.201,
all,k=0,80,-0.6341,0.926,0.6018,53.6436,55.1891,54.8696,94.1161,-14.8893,0.0,1.201,
all,k=0,81,-0.0375,0.6271,0.2057,54.273,54.923,54.5063,94.3889,-15.6317,0.0,1.201,
all,k=0,82,0.3102,0.8274,-0.8695,54.7944,55.297,53.6108,94.4634,-16.6554,0.0,1.201,
all,k=0,83,0.67,-0.2364,-0.3489,55.1689,54.3931,54.1402,94.8019,-16.5908,0.0,1.201,
all,k=0,84,0.9881,0.5624,-0.0289,54.9952,54.5551,54.1519,94.7085,-16.4449,0.0,1.201,
all,k=0,85,-0.1547,0.7551,-0.8264,54.4962,55.3913,53.8148,94.3469,-16.2806,0.0,1.201,
all,k=0,86,0.4168,0.5783,0.5984,54.4612,54.6082,54.6329,94.5252,-15.693,0.0,1.201,
all,k=0,87,-0.3554,0.5933,-0.5493,54.324,55.258,54.1203,94.3247,-15.9362,0.0,1.201,
all,k=0,88,-0.2754,-0.1651,0.0828,54.3825,54.5888,54.7309,94.5041,-15.5638,0.0,1.201,
all,k=0,89,-0.7748,-0.1861,-0.9994,54.3394,55.0994,54.2634,94.3681,-15.8504,0.0,1.201,
all,k=0,90,0.4888,0.7038,-0.7221,54.9,55.1005,53.7017,94.545,-16.6771,0.0,1.201,
all,k=0,91,0.4076,0.6422,0.9637,54.3119,54.5322,54.8581,94.4942,-15.4208,0.0,1.201,
all,k=0,92,0.6876,-0.1518,0.9594,54.6137,54.2128,54.8757,94.6682,-15.6467,0.0,1.201,
all,k=0,93,0.948,0.0074,0.5069,54.9437,54.2657,54.4928,94.762,-16.1706,0.0,1.201,
all,k=0,94,0.8277,-0.0477,0.7276,54.8039,54.2043,54.694,94.7319,-15.9218,0.0,1.201,
all,k=0,95,0.4031,-0.4122,0.5353,54.6893,54.2013,54.8116,94.6955,-15.7504,0.0,1.201,
all,k=0,96,0.1414,-0.8123,-0.2172,54.8671,54.3302,54.505,94.7222,-16.1015,0.0,1.201,
all,k=0,97,-0.8525,-0.0477,-0.1429,54.052,54.8983,54.7519,94.3219,-15.2896,0.0,1.201,
all,k=0,98,-0.1525,0.1726,-0.7546,54.6587,54.9693,54.0741,94.5018,-16.2317,0.0,1.201,
all,k=0,99,0.8675,0.3681,0.6476,54.8153,54.3015,54.5855,94.7125,-16.0053,0.0,1.201,
all,k=0,100,0.7936,0.1666,-0.9196,55.3555,54.7141,53.6327,94.78,-17.0861,0.0,1.201,
all,k=0,101,0.423,0.1381,0.6519,54.5912,54.3007,54.8103,94.6402,-15.6738,0.0,1.201,
